age,annual_income,employment_years,loan_amount,loan_term_months,interest_rate,credit_score,num_credit_lines,num_delinquent_accounts,monthly_payment_capacity,loan_defaulted,debt_to_income_ratio,loan_term_risk
66,47936.84,3.8,8051.3,60,10.57,596,2,0,3821.4,1,0.16795641932175756,52.85
19,28501.93,3.5,26735.64,24,11.42,534,2,0,1123.85,1,0.9380291089059583,22.84
18,24137.15,6.3,19261.8,36,6.43,779,3,0,1421.69,0,0.7980146786178152,19.29
26,30191.64,1.9,1483.58,24,12.74,489,3,1,2445.62,0,0.049138768215307285,25.48
33,25858.87,23.5,8189.26,48,11.11,560,4,0,1942.81,0,0.31669055917756656,44.44
27,26836.42,4.6,8522.42,60,12.72,486,6,0,2043.68,0,0.31756918396716105,63.6
29,78336.2,3.1,30324.66,36,9.59,607,1,1,5555.35,0,0.38710915260122397,28.77
37,37150.68,6.0,2995.55,48,12.7,536,2,0,3015.97,1,0.08063244064442428,50.8
33,93215.67,5.8,47859.7,48,6.17,798,2,0,6640.25,0,0.5134297699088576,24.68
50,31343.76,1.8,4845.76,48,12.44,510,4,1,2483.32,1,0.15460046912048844,49.76
25,19130.85,7.5,23503.19,36,11.19,570,2,0,822.66,1,1.2285491758076614,33.57
30,15000.0,2.3,7307.27,24,7.69,748,4,1,920.54,0,0.4871513333333334,15.38
44,34459.63,2.3,10009.71,12,7.78,699,1,0,2001.92,0,0.29047642125002504,7.78
25,149144.02,1.2,1817.36,60,7.38,724,2,0,12392.36,0,0.012185268976925793,36.9
30,101939.77,2.0,23862.83,36,10.48,580,6,1,7719.61,1,0.23408754012295693,31.44
37,66862.63,6.5,25577.8,36,8.73,680,4,0,4761.73,0,0.3825425353444816,26.19
27,85067.86,4.1,27654.36,12,9.96,598,3,0,4658.25,0,0.3250858784974725,9.96
24,25561.62,2.1,22824.19,36,7.84,703,3,1,1416.59,0,0.8929085871709227,23.52
18,22550.1,12.8,3718.74,36,7.35,689,3,0,1763.76,0,0.16491013343621536,22.049999999999997
29,50764.36,3.7,9824.02,36,14.41,387,2,0,3892.64,0,0.19352199062491876,43.230000000000004
30,15000.0,6.0,48437.18,12,13.25,422,4,1,-3081.96,0,3.2291453333333333,13.25
32,30564.57,2.5,18154.73,36,6.58,803,4,0,1989.96,0,0.593979565228629,19.740000000000002
50,15931.89,13.6,10994.67,24,5.69,815,4,0,841.9,1,0.6901045638653042,11.38
29,25813.49,7.0,6659.7,36,11.29,585,2,1,1932.18,0,0.25799301063126295,33.87
37,82646.95,6.4,32167.31,36,8.48,657,1,1,5872.1,0,0.3892135160462667,25.44
35,46298.84,15.4,6344.64,36,11.58,551,1,0,3648.77,0,0.13703669465584883,34.74
41,28879.06,4.9,7883.24,24,7.7,719,3,0,2051.13,0,0.27297425885745585,15.4
35,73710.96,1.1,7499.03,36,9.44,659,1,0,5902.57,0,0.10173561706427374,28.32
49,15000.0,3.9,41865.45,24,9.45,584,2,1,-671.27,0,2.7910299999999997,18.9
22,25676.96,5.3,33380.25,24,7.92,734,1,0,631.27,0,1.3000078669749067,15.84
43,18454.06,5.7,16307.82,36,11.43,510,4,0,1000.61,1,0.8836982214211939,34.29
18,50890.31,7.9,12218.66,48,7.48,699,3,0,3945.54,0,0.2400979675698576,29.92
34,53357.45,4.8,8046.92,12,10.79,569,5,0,3736.04,1,0.15081155490001866,10.79
34,20686.64,10.8,15596.31,24,13.47,453,2,2,978.96,1,0.7539315229539452,26.94
37,29269.36,1.4,28916.87,48,9.49,648,8,1,1712.77,0,0.9879570308336089,37.96
18,30387.13,20.5,42296.49,24,9.18,658,2,0,596.46,1,1.3919211850543305,18.36
24,24861.87,12.3,20287.54,24,9.37,616,7,2,1141.54,0,0.816010219665697,18.74
38,80261.75,16.7,10465.19,48,8.47,693,0,1,6430.68,0,0.1303882609088389,33.88
31,70460.18,7.8,17769.76,60,11.53,565,1,0,5480.61,1,0.2521957792330363,57.65
34,15000.0,5.9,3676.84,24,10.99,601,5,0,1078.65,0,0.24512266666666668,21.98
22,54749.15,0.8,5943.93,36,9.37,623,3,0,4372.39,0,0.10856661701597194,28.11
41,50770.81,6.4,26148.7,48,8.43,693,4,0,3587.24,0,0.5150341308322637,33.72
38,15000.0,20.7,7520.0,36,8.61,691,4,1,1012.23,0,0.5013333333333333,25.83
33,28683.62,3.7,22303.87,36,10.63,545,1,0,1664.0,0,0.7775821182960867,31.89
27,43683.33,3.1,27060.18,24,4.2,849,2,0,2462.78,1,0.6194623898864853,8.4
25,15592.69,0.0,8348.62,48,9.69,614,1,1,1088.89,1,0.5354188404951294,38.76
33,15000.0,1.3,28737.13,36,7.6,684,4,0,354.78,0,1.9158086666666667,22.799999999999997
28,38524.08,12.6,21749.72,48,9.85,594,3,1,2660.28,0,0.5645746764101829,39.4
33,42712.84,3.8,45264.76,60,12.13,511,5,0,2549.54,1,1.0597459686595414,60.650000000000006
32,21853.95,7.0,40905.58,48,9.25,632,1,1,798.36,0,1.8717705494887653,37.0
31,19942.3,0.1,5668.28,48,8.51,671,3,0,1522.12,0,0.2842340151336606,34.04
40,28230.87,5.5,3957.81,60,6.33,802,3,0,2275.45,0,0.14019440421070978,31.65
41,18618.16,1.1,8058.27,48,9.01,617,0,2,1350.94,0,0.4328177435364182,36.04
27,15000.0,4.7,15873.95,60,11.39,511,1,0,901.77,0,1.0582633333333333,56.95
34,20414.34,4.4,12468.13,36,8.56,670,4,0,1307.26,1,0.6107535193398366,25.68
30,68752.58,3.9,18921.07,24,8.23,686,3,0,4871.65,0,0.27520523593441876,16.46
18,28521.23,0.0,10934.46,48,6.79,750,2,0,2115.99,1,0.38337967892689057,27.16
23,29614.39,10.4,18749.87,24,9.47,663,5,2,1607.23,0,0.6331337569337069,18.94
35,20726.03,2.0,11058.19,12,12.41,449,3,0,742.54,1,0.533541155735083,12.41
33,38645.13,1.9,15693.85,48,8.71,602,3,0,2832.04,0,0.40610162263653926,34.84
43,28995.29,6.6,100000.0,36,9.75,618,5,0,-798.72,1,3.4488360006056156,29.25
38,38351.78,2.7,34575.3,48,7.34,758,3,0,2362.57,0,0.9015305156631583,29.36
25,15000.0,0.9,6906.63,24,9.1,624,4,0,934.16,0,0.460442,18.2
18,15000.0,8.0,10189.39,36,4.8,850,1,0,945.53,0,0.6792926666666667,14.399999999999999
31,45827.63,0.5,2064.36,36,9.29,659,4,0,3753.04,0,0.04504618720191291,27.869999999999997
20,67606.73,0.3,15131.72,36,7.76,713,0,1,5161.39,0,0.22381972918968274,23.28
31,40155.43,1.3,18249.49,48,8.71,611,2,0,2894.66,0,0.45447128819190835,34.84
42,107847.55,1.7,37347.9,12,6.5,791,1,0,5764.31,0,0.3463027208313958,6.5
18,28723.57,1.5,24701.1,24,13.11,430,6,1,1218.02,1,0.8599592599387889,26.22
64,45057.28,1.9,7567.53,48,13.12,446,4,0,3551.3,0,0.1679535471293429,52.48
39,15000.0,9.3,14550.07,24,10.69,608,4,0,573.94,1,0.9700046666666666,21.38
26,62392.0,10.8,30165.68,48,6.81,758,4,0,4479.63,0,0.4834863444031286,27.24
23,56283.26,4.2,16996.41,12,5.55,834,3,0,3230.96,0,0.30197984267435823,5.55
23,33015.5,7.5,23960.96,12,9.76,593,2,0,647.42,1,0.7257488149505535,9.76
40,103137.31,0.1,6864.26,36,7.87,726,2,0,8380.09,0,0.06655457661247904,23.61
34,15882.79,0.6,27254.73,60,7.85,710,4,0,772.89,0,1.7159913340162527,39.25
40,44099.11,0.6,90421.34,36,11.87,482,2,0,677.25,1,2.0504119017367923,35.61
29,70580.38,0.4,14469.67,36,5.61,843,3,2,5444.06,0,0.2050098058412267,16.830000000000002
23,31601.79,0.3,7347.89,36,9.97,602,3,1,2396.49,1,0.23251499361270359,29.910000000000004
29,77199.78,9.5,12327.41,24,4.43,830,3,0,5895.64,0,0.1596819317360749,8.86
53,17705.5,13.5,26636.91,48,9.9,561,3,0,801.16,0,1.5044426873005563,39.6
20,31389.98,9.7,9138.8,48,14.4,395,3,0,2364.26,0,0.2911374903711311,57.6
50,46376.79,0.1,14810.92,48,9.54,625,4,1,3492.35,0,0.3193606112022846,38.16
34,49958.74,5.1,9733.77,48,9.68,638,4,0,3917.85,0,0.19483617881475795,38.72
49,42915.58,5.6,6890.8,24,11.08,538,5,0,3254.88,0,0.1605663957005824,22.16
44,38144.24,6.2,21869.82,24,10.18,611,3,0,2167.69,0,0.5733452809650946,20.36
33,36806.97,9.8,7083.46,24,9.39,625,5,1,2742.37,0,0.1924488758515031,18.78
36,29285.29,0.5,13886.35,36,7.8,713,2,0,2006.57,0,0.4741749185341856,23.4
24,15000.0,2.0,15070.7,24,9.73,614,3,0,556.44,0,1.0047133333333333,19.46
43,37283.06,1.4,17783.87,48,11.21,511,2,1,2645.47,0,0.4769959869173829,44.84
33,37159.88,2.8,23203.5,24,8.34,739,4,0,2043.62,1,0.6244234373200345,16.68
50,26033.15,8.3,3880.65,36,8.7,657,2,0,2046.57,0,0.14906571044994554,26.099999999999998
26,101720.1,8.2,10497.47,60,5.6,806,2,0,8275.68,0,0.1031995642945691,28.0
40,19232.43,9.4,43099.71,24,9.6,660,4,0,-378.18,0,2.2409913879837338,19.2
35,42973.6,1.7,3104.7,48,13.62,453,3,0,3496.88,0,0.07224668168363832,54.48
36,47301.08,1.5,39777.95,60,8.07,698,4,1,3133.87,0,0.8409522573268939,40.35
37,20770.1,1.6,17305.12,24,7.51,717,5,0,952.04,1,0.8331746115810709,15.02
48,46461.2,3.9,15490.24,48,10.04,634,3,0,3478.6,0,0.3334016340516388,40.16
52,18099.87,0.7,23198.14,48,7.6,684,3,1,946.33,0,1.2816743987664,30.4
38,39143.97,0.2,24352.99,48,9.25,659,3,1,2653.08,1,0.6221389910118978,37.0
33,22909.89,8.0,15087.03,48,8.45,675,4,1,1537.64,0,0.6585378629054963,33.8
40,18570.78,1.4,2953.01,48,7.65,738,1,0,1475.96,0,0.15901378401984195,30.6
50,15000.0,2.9,7103.72,36,7.98,721,4,0,1027.46,0,0.47358133333333335,23.94
36,145797.43,2.5,21024.0,12,7.92,676,1,0,10321.72,0,0.14420007266246052,7.92
34,51728.92,0.1,17730.76,24,12.27,495,4,1,3473.86,0,0.3427630037510932,24.54
48,15000.0,3.7,16297.43,60,8.52,702,4,0,915.48,0,1.0864953333333334,42.599999999999994
30,32283.2,0.1,4722.78,60,7.16,742,8,0,2596.39,0,0.14629218912623282,35.8
38,16484.14,24.2,24155.25,60,11.23,494,2,1,845.71,0,1.4653630701995979,56.150000000000006
38,15000.0,8.2,13003.43,48,6.35,815,3,0,942.52,0,0.8668953333333334,25.4
25,25609.4,1.5,6595.72,60,6.67,738,3,0,2004.54,0,0.2575507430865229,33.35
52,86567.17,1.0,5204.29,48,9.74,636,2,0,7082.59,0,0.06011851837134101,38.96
45,102227.88,0.8,10290.39,36,10.82,506,5,0,8182.97,0,0.10066128731222831,32.46
28,47050.91,0.8,20784.22,36,6.06,805,7,0,3288.05,0,0.44173895892768067,18.18
18,16463.78,0.7,9697.7,60,10.4,622,1,0,1164.02,0,0.5890324093251976,52.0
40,21441.78,5.8,11308.42,36,10.26,596,4,0,1420.54,0,0.5274011765814219,30.78
26,66818.26,9.2,2152.32,60,11.03,543,3,1,5521.36,0,0.03221155414702508,55.15
30,15000.0,5.0,15988.04,24,7.44,734,0,0,530.98,0,1.0658693333333333,14.88
30,15633.0,0.5,20060.18,60,8.94,719,3,1,886.92,0,1.2831945244035055,44.699999999999996
18,27214.01,10.5,7570.91,48,11.28,514,0,0,2071.13,1,0.27819898647792074,45.12
29,15000.0,12.5,6595.61,36,4.71,818,4,0,1053.18,0,0.43970733333333334,14.129999999999999
33,30263.53,4.0,14698.46,48,7.83,774,5,0,2164.3,0,0.485682271697981,31.32
18,31488.21,1.0,6591.46,60,7.86,717,2,0,2490.81,1,0.20933104803353383,39.300000000000004
49,75613.57,6.5,24428.86,12,11.24,532,5,0,4139.33,0,0.32307507766132454,11.24
40,26006.89,5.3,46729.58,48,10.8,596,4,0,964.02,1,1.7968153823852064,43.2
26,18768.32,2.6,50600.52,36,8.09,669,4,0,-23.71,0,2.696060169477076,24.27
30,15000.0,0.9,14475.45,36,11.47,539,6,1,772.86,1,0.96503,34.410000000000004
23,117353.43,0.7,13008.58,48,10.33,598,5,0,9447.46,0,0.11084959340344804,41.32
23,87977.39,4.6,29003.32,12,5.37,794,3,0,4843.63,0,0.32966788398701075,5.37
26,19301.98,2.2,35741.16,36,7.82,673,3,0,491.47,0,1.8516836096607707,23.46
41,65112.41,8.1,3238.44,24,8.47,656,3,0,5278.87,0,0.04973614092920228,16.94
35,15000.0,13.2,2921.84,48,8.87,652,3,1,1177.47,0,0.19478933333333334,35.48
35,40820.11,12.1,13633.35,24,8.57,693,3,0,2781.53,0,0.33398611615696283,17.14
41,18478.26,0.2,56102.58,48,8.19,686,2,0,165.22,1,3.0361397664065777,32.76
26,77911.63,0.7,8688.71,24,11.72,510,5,0,6084.76,1,0.1115200644627766,23.44
27,91654.74,0.1,14895.87,36,9.61,604,3,0,7159.97,0,0.16252154553054213,28.83
36,43584.61,3.7,12053.27,24,12.36,513,2,0,3062.63,0,0.27654876342819174,24.72
45,25192.7,2.8,24641.55,36,8.5,652,4,0,1321.52,0,0.9781226307620858,25.5
36,37937.76,1.6,2969.04,24,7.35,718,4,0,3028.08,1,0.07826081455520832,14.7
33,38551.02,1.7,22484.29,36,6.14,765,6,0,2527.14,1,0.583234632961722,18.419999999999998
28,31114.08,1.8,6616.54,36,4.64,850,4,1,2395.6,0,0.2126542067128451,13.919999999999998
18,63516.42,24.0,12843.9,24,7.06,740,2,0,4717.63,0,0.20221385273288386,14.12
23,65152.93,14.7,12313.89,36,8.62,661,3,1,5040.01,0,0.18899978865110134,25.86
32,17657.92,5.2,3796.58,24,7.36,726,1,0,1300.89,0,0.21500720356644498,14.72
46,62956.23,0.8,25276.07,48,9.59,664,2,0,4610.25,0,0.4014863977719123,38.36
20,92487.77,2.2,3934.62,60,7.46,725,3,0,7628.55,1,0.04254205718226312,37.3
49,37919.25,3.8,24400.87,36,10.55,551,1,0,2366.27,0,0.6434955860150188,31.650000000000002
30,30476.6,5.9,8019.69,36,13.86,449,6,0,2266.17,0,0.2631425421470899,41.58
33,103705.29,5.2,21412.08,36,6.47,731,3,1,7986.14,0,0.20647047031062737,19.41
28,18759.94,0.6,13246.46,12,9.54,637,2,0,401.59,1,0.7061035376445767,9.54
41,56249.57,0.8,5386.1,36,8.16,676,1,0,4518.29,0,0.09575362087212401,24.48
28,116323.41,24.0,25015.61,36,8.91,626,2,0,8899.18,0,0.21505224098915257,26.73
26,118186.71,6.5,7837.07,48,10.11,589,3,0,9649.71,0,0.06631092446858027,40.44
39,37169.96,1.8,59917.78,36,8.54,688,3,0,1204.93,1,1.6119947398382994,25.619999999999997
28,41696.01,24.9,13614.98,36,11.84,545,2,0,3023.5,0,0.32652956481927164,35.519999999999996
27,35275.27,2.6,8176.93,48,12.75,396,1,0,2721.25,0,0.23180347024983794,51.0
42,35455.02,1.6,15918.11,24,9.76,616,3,0,2221.81,0,0.4489663240917648,19.52
42,23941.81,6.1,10361.87,36,7.79,747,1,0,1671.45,0,0.4327939282786055,23.37
18,60195.02,1.4,7971.15,24,7.56,706,4,0,4657.34,0,0.1324220840860257,15.12
45,43586.13,1.2,5785.51,36,8.65,641,0,0,3449.14,1,0.1327374098136265,25.950000000000003
50,39233.75,10.2,11479.82,36,8.11,704,5,0,2909.16,0,0.2926006308344219,24.33
32,29032.81,17.5,30499.13,48,8.32,667,2,1,1670.24,0,1.0505056176098697,33.28
39,15000.0,3.1,16852.77,48,11.76,542,2,0,808.19,0,1.123518,47.04
21,21794.09,1.3,4808.19,48,11.2,559,1,1,1691.44,1,0.22061898432097873,44.8
39,23853.52,19.9,4334.11,36,11.27,564,1,0,1845.35,0,0.1816968732497342,33.81
45,49003.21,4.2,7523.38,48,7.18,738,6,0,3902.82,0,0.1535283096760396,28.72
23,89697.75,3.3,7770.66,48,6.64,734,2,1,7290.03,0,0.08663160447168407,26.56
37,23743.07,0.5,27880.28,60,9.99,589,3,0,1386.35,1,1.1742491598601192,49.95
23,83119.15,3.1,5235.7,24,7.94,675,3,1,6689.94,1,0.06299029766305358,15.88
45,15000.0,6.4,14181.03,36,4.23,850,2,0,829.87,0,0.9454020000000001,12.690000000000001
43,55519.93,6.2,50569.83,36,7.58,724,2,0,3051.77,0,0.9108410259162791,22.740000000000002
42,19283.27,1.4,10251.36,36,7.52,703,2,0,1287.96,1,0.5316193778337388,22.56
54,54021.17,4.1,4678.62,48,9.04,639,3,0,4385.25,1,0.08660715789754277,36.16
38,91705.59,0.8,21212.83,48,10.55,537,2,1,7098.5,0,0.23131447057916538,42.2
32,15000.0,5.4,15125.26,36,9.06,622,4,0,768.6,0,1.0083506666666666,27.18
33,24212.15,6.2,20835.03,36,9.03,648,1,2,1354.84,0,0.8605196151518968,27.089999999999996
42,27478.83,4.6,5030.58,24,7.83,716,6,0,2062.77,1,0.18307111328975795,15.66
45,21593.3,0.2,11237.97,12,5.39,850,0,1,835.38,0,0.5204378209907703,5.39
46,25780.49,15.7,27396.19,24,7.18,745,5,1,919.54,0,1.0626714232351673,14.36
35,150513.96,0.9,18371.77,48,8.8,678,3,0,12087.39,0,0.12206023946217348,35.2
26,33859.25,0.1,18920.53,60,9.86,616,4,0,2420.9,1,0.5587994418068918,49.3
18,23032.65,3.4,15518.45,60,8.56,654,4,1,1600.55,1,0.6737587728724224,42.800000000000004
22,34197.07,6.4,18302.56,36,9.43,621,6,0,2264.07,1,0.5352084257510951,28.29
52,23286.71,5.0,7341.5,48,10.35,585,2,1,1753.12,1,0.3152656601125707,41.4
38,79109.46,3.7,4766.03,48,13.4,455,0,0,6463.65,0,0.06024601861774811,53.6
29,135555.29,1.3,2996.95,12,11.51,545,3,2,11030.69,1,0.02210869085227142,11.51
21,21044.21,10.5,46892.44,36,9.4,640,2,0,253.77,0,2.2282822686145027,28.200000000000003
50,68140.64,12.2,9560.39,24,8.62,680,3,1,5243.29,0,0.14030378933922547,17.24
34,22890.4,1.6,28634.17,36,10.05,648,2,0,982.92,0,1.2509248418551007,30.150000000000002
50,56702.83,12.3,5551.99,60,11.66,535,5,1,4602.69,1,0.09791380782934467,58.3
35,54486.43,23.1,79745.25,36,10.49,590,1,0,1949.0,1,1.463580014326503,31.47
43,15000.0,0.7,8934.23,24,12.52,509,2,1,827.26,1,0.5956153333333333,25.04
33,16092.4,9.1,19175.01,24,14.19,390,2,0,418.66,1,1.1915568839949293,28.38
22,16430.51,8.7,8937.59,24,6.04,784,3,1,972.93,1,0.5439630297537935,12.08
21,18969.73,0.4,12971.34,24,8.99,685,2,0,988.28,0,0.6837914930787101,17.98
40,74622.28,10.8,5810.26,48,9.83,600,7,0,6071.63,0,0.07786226848067361,39.32
32,65819.1,8.2,24934.43,36,10.38,591,2,0,4675.91,0,0.37883274004050493,31.14
18,19883.26,4.0,7828.37,24,7.45,749,2,1,1304.84,0,0.3937166239339022,14.9
44,72843.25,0.8,12765.08,48,15.42,365,3,0,5712.29,0,0.17524039633047675,61.68
38,40156.58,17.6,13550.12,48,12.25,500,6,0,2987.89,0,0.33743212195859307,49.0
33,18924.06,16.2,18926.07,36,11.09,481,2,1,956.58,1,1.0001062139942485,33.269999999999996
36,20381.52,4.5,18439.05,36,7.97,680,0,0,1120.9,0,0.9046945468247706,23.91
39,87536.81,8.5,10283.62,36,8.18,698,7,0,6971.63,0,0.1174776645390665,24.54
54,22639.98,0.1,12560.34,24,5.52,788,5,2,1332.7,0,0.5547858257825317,11.04
41,22932.32,2.6,16261.91,36,10.66,550,6,0,1381.25,0,0.7091262462759983,31.98
18,102114.03,4.6,17369.26,36,6.26,789,2,1,7979.05,0,0.1700967046350046,18.78
27,56904.95,6.8,6855.53,48,8.83,670,3,0,4572.03,0,0.12047335073662309,35.32
42,33359.04,8.6,27448.87,36,9.46,640,3,0,1901.16,0,0.822831532322273,28.380000000000003
56,15000.0,5.8,6801.02,48,7.88,702,2,0,1084.35,0,0.4534013333333334,31.52
32,15000.0,7.1,19947.33,48,14.47,420,4,0,700.2,0,1.329822,57.88
32,26139.14,0.7,10292.56,24,10.94,554,3,0,1698.83,0,0.39376046801845815,21.88
31,52281.22,4.4,14786.94,36,9.53,617,2,0,3882.89,0,0.282834639283475,28.589999999999996
33,82597.17,0.9,86986.48,60,7.74,694,2,0,5130.13,0,1.053141166943129,38.7
32,107115.02,9.0,52135.92,36,8.88,657,2,0,7271.25,0,0.4867283785224518,26.64
43,37160.6,15.8,6017.94,48,10.17,610,4,1,2943.59,0,0.1619441020866186,40.68
38,15000.0,1.0,18742.79,24,11.75,518,5,0,369.9,1,1.2495193333333334,23.5
27,23096.35,5.8,30433.53,36,10.43,604,5,1,936.54,0,1.3176770355489071,31.29
63,77428.21,16.6,7565.53,24,7.89,753,1,1,6110.56,0,0.09771025314933665,15.78
41,70665.65,9.6,58690.65,36,9.41,633,1,0,4011.24,0,0.8305400148445533,28.23
27,24681.95,3.9,14391.3,60,6.07,832,1,0,1778.14,0,0.5830698141759464,30.35
28,43357.22,3.7,24274.12,12,8.53,639,7,1,1495.58,1,0.5598633860750297,8.53
35,68105.4,1.7,90013.59,48,11.6,498,3,0,3322.69,1,1.3216806596833732,46.4
40,15000.0,0.2,20661.01,48,9.14,632,4,0,734.48,0,1.3774006666666665,36.56
27,25767.42,11.0,14384.31,48,13.34,454,1,0,1758.96,1,0.5582363309947213,53.36
29,29664.78,16.7,21713.79,24,9.38,661,1,0,1476.29,0,0.7319720557509612,18.76
23,93069.68,3.0,9638.15,24,9.86,604,7,1,7311.68,0,0.10355843062961,19.72
23,78580.94,0.1,2997.09,48,7.96,646,1,0,6475.3,1,0.03814016477787107,31.84
22,125423.25,2.4,33081.36,60,10.47,593,4,0,9741.38,0,0.2637577961023973,52.35
32,32822.14,2.3,3998.69,48,9.08,683,2,0,2635.52,0,0.12182904588183464,36.32
32,26327.44,3.4,15845.59,24,8.43,639,2,0,1474.19,0,0.6018659619013471,16.86
29,18384.89,3.2,14755.12,48,7.98,671,3,0,1172.0,0,0.8025677608079244,31.92
40,51239.71,1.5,15020.04,24,10.67,592,2,0,3572.22,1,0.2931328065674064,21.34
35,89324.52,3.4,3018.04,36,11.84,503,3,0,7343.7,1,0.0337873632010561,35.519999999999996
38,28986.68,0.0,12054.41,24,12.25,474,4,0,1846.71,0,0.4158603192914815,24.5
38,20550.65,2.1,6903.35,12,14.9,356,4,1,1089.8,1,0.33591881521995653,14.9
48,53690.47,22.9,36267.37,36,7.74,703,2,0,3342.06,0,0.6754898960653539,23.22
32,53567.93,5.5,23595.73,60,9.44,663,5,0,3969.13,0,0.4404823931034856,47.199999999999996
37,47190.68,1.9,9273.78,24,8.25,715,2,0,3512.07,0,0.1965171936492545,16.5
38,66149.04,2.8,4536.55,48,8.22,679,3,1,5401.2,0,0.0685807382843349,32.88
18,38026.91,1.4,2461.69,48,5.99,792,1,0,3111.11,0,0.0647354728533031,23.96
37,41622.13,21.6,7768.27,24,10.8,581,0,0,3107.17,0,0.18663797359721862,21.6
24,73378.07,2.5,9004.21,24,10.5,552,2,1,5697.26,1,0.1227098232482811,21.0
35,18694.13,3.9,13418.32,36,8.98,650,3,0,1131.27,0,0.7177825338756069,26.94
31,69442.01,2.1,14671.46,36,9.65,594,2,1,5315.83,0,0.21127643050654785,28.950000000000003
44,68239.46,1.7,4884.57,48,8.05,689,4,0,5567.26,0,0.07157984544426348,32.2
42,17337.22,2.5,25090.47,48,7.46,683,3,0,838.58,0,1.447202608030584,29.84
37,58173.99,0.8,16954.99,48,8.28,667,3,1,4431.68,0,0.2914531047294504,33.12
43,42916.38,0.1,10241.87,36,11.41,550,1,0,3239.07,0,0.238647108633114,34.230000000000004
39,40799.99,12.3,2772.66,60,11.13,570,5,0,3339.54,0,0.06795736959739451,55.650000000000006
20,42708.52,0.8,7577.25,36,10.91,601,3,0,3311.3,0,0.17741776113993182,32.730000000000004
37,15000.0,7.0,5349.32,60,8.93,683,4,0,1139.14,0,0.3566213333333333,44.65
32,34960.06,1.0,38449.34,48,8.6,661,3,0,1963.81,0,1.0998076090258426,34.4
39,34309.06,0.3,14173.73,12,9.15,684,3,0,1618.59,0,0.4131191586129145,9.15
20,51061.67,1.6,3953.66,24,10.14,573,1,0,4072.44,0,0.07742911659567735,20.28
42,16546.99,2.8,24193.04,48,7.1,705,3,0,798.46,0,1.4620810189647784,28.4
23,37108.23,4.6,9300.95,24,12.24,532,4,1,2653.48,0,0.25064385986612675,24.48
24,43754.54,19.7,4340.49,24,7.23,774,3,2,3451.42,0,0.09920090578029159,14.46
41,87669.69,4.5,6493.77,36,6.82,764,3,1,7105.83,1,0.07407086759403393,20.46
28,22848.61,9.5,9305.98,24,7.5,708,2,0,1485.28,0,0.40728867095197474,15.0
24,81393.76,3.7,7273.58,48,12.95,482,5,0,6587.86,0,0.08936287007750963,51.8
20,19898.37,1.0,26837.91,48,9.24,647,2,0,987.27,0,1.3487491689017743,36.96
24,42064.03,0.5,3638.96,48,9.25,614,5,0,3414.35,0,0.08651001817942788,37.0
18,39880.09,0.8,41637.91,60,7.79,763,3,0,2483.25,0,1.0440776337265039,38.95
